Age,AgeGroup,Sex,Job,Housing,SavingAccounts,CheckingAccount,CreditAmount,Duration,InstallmentRate,Purpose
19,Young,female,1,rent,rich,moderate,983.00,12.00,81.92,furniture/equipment
19,Young,female,2,rent,little,unknown,1980.00,9.00,220.00,furniture/equipment
20,Young,male,2,rent,unknown,rich,3617.00,24.00,150.71,furniture/equipment
20,Young,female,2,rent,little,little,1282.00,12.00,106.83,furniture/equipment
20,Young,female,2,own,rich,moderate,1577.00,11.00,143.36,furniture/equipment
20,Young,male,2,own,moderate,little,674.00,12.00,56.17,radio/TV
20,Young,female,2,rent,unknown,unknown,4675.00,12.00,389.58,car
20,Young,female,2,own,little,moderate,1967.00,24.00,81.96,radio/TV
20,Young,female,2,rent,rich,unknown,3186.00,15.00,212.40,car
20,Young,male,2,own,little,unknown,1313.00,9.00,145.89,furniture/equipment
20,Young,male,2,own,unknown,little,2996.00,24.00,124.83,furniture/equipment
20,Young,male,2,rent,little,moderate,585.00,12.00,48.75,radio/TV
20,Young,female,2,rent,little,little,2039.00,18.00,113.28,furniture/equipment
20,Young,female,1,rent,little,moderate,2718.00,24.00,113.25,car
20,Young,female,2,rent,quite rich,unknown,2221.00,15.00,148.07,furniture/equipment
20,Young,male,3,rent,little,little,1107.00,12.00,92.25,radio/TV
21,Young,female,2,own,moderate,unknown,10144.00,60.00,169.07,radio/TV
21,Young,male,2,rent,moderate,moderate,3031.00,45.00,67.36,radio/TV
21,Young,male,2,rent,little,little,902.00,12.00,75.17,education
21,Young,male,1,own,little,little,6568.00,24.00,273.67,business
21,Young,male,2,rent,little,unknown,1766.00,6.00,294.33,furniture/equipment
21,Young,female,2,rent,unknown,unknown,1126.00,18.00,62.56,radio/TV
21,Young,male,2,rent,little,moderate,2779.00,18.00,154.39,car
21,Young,male,1,own,little,little,1289.00,12.00,107.42,furniture/equipment
21,Young,female,2,rent,moderate,moderate,3441.00,30.00,114.70,furniture/equipment
21,Young,male,2,own,little,unknown,15653.00,60.00,260.88,radio/TV
21,Young,female,2,rent,little,unknown,2570.00,27.00,95.19,car
21,Young,male,1,rent,little,little,1987.00,24.00,82.79,radio/TV
21,Young,female,2,own,unknown,unknown,886.00,12.00,73.83,radio/TV
21,Young,female,2,rent,little,little,1049.00,18.00,58.28,furniture/equipment
22,Young,female,2,own,little,moderate,5951.00,48.00,123.98,radio/TV
22,Young,female,2,own,little,moderate,1567.00,12.00,130.58,radio/TV
22,Young,male,2,own,rich,moderate,1007.00,12.00,83.92,car
22,Young,male,2,own,little,moderate,3832.00,30.00,127.73,furniture/equipment
22,Young,male,2,own,little,little,2462.00,18.00,136.78,furniture/equipment
22,Young,male,2,own,little,unknown,1478.00,9.00,164.22,radio/TV
22,Young,male,2,free,little,little,3149.00,24.00,131.21,furniture/equipment
22,Young,female,2,rent,little,unknown,433.00,18.00,24.06,radio/TV
22,Young,male,1,rent,little,moderate,276.00,9.00,30.67,car
22,Young,female,2,rent,little,little,3650.00,18.00,202.78,furniture/equipment
22,Young,male,2,own,little,moderate,2039.00,24.00,84.96,radio/TV
22,Young,male,2,rent,moderate,moderate,3092.00,24.00,128.83,radio/TV
22,Young,male,2,own,little,moderate,1331.00,12.00,110.92,radio/TV
22,Young,female,1,own,little,little,806.00,15.00,53.73,business
22,Young,male,2,own,quite rich,little,2828.00,24.00,117.83,furniture/equipment
22,Young,female,2,own,moderate,little,741.00,12.00,61.75,domestic appliances
22,Young,female,2,rent,little,little,3632.00,24.00,151.33,car
22,Young,female,2,own,little,unknown,1808.00,18.00,100.44,furniture/equipment
22,Young,female,2,rent,little,little,1858.00,12.00,154.83,furniture/equipment
22,Young,male,2,free,little,little,3973.00,14.00,283.79,car
22,Young,male,2,own,quite rich,little,2483.00,24.00,103.46,furniture/equipment
22,Young,female,2,rent,moderate,unknown,2301.00,9.00,255.67,furniture/equipment
22,Young,female,1,rent,little,unknown,1258.00,12.00,104.83,furniture/equipment
22,Young,female,2,rent,little,little,1366.00,9.00,151.78,radio/TV
22,Young,female,2,own,little,moderate,1670.00,9.00,185.56,radio/TV
22,Young,male,1,own,little,moderate,454.00,6.00,75.67,repairs
22,Young,male,2,own,moderate,moderate,1514.00,15.00,100.93,repairs
23,Young,female,0,rent,quite rich,little,1352.00,6.00,225.33,car
23,Young,female,3,own,little,rich,1961.00,18.00,108.94,car
23,Young,female,1,rent,little,little,6229.00,36.00,173.03,furniture/equipment
23,Young,female,2,rent,little,rich,392.00,15.00,26.13,education
23,Young,female,2,own,quite rich,little,4281.00,33.00,129.73,furniture/equipment
23,Young,female,2,own,little,unknown,2288.00,21.00,108.95,furniture/equipment
23,Young,male,2,own,little,rich,3913.00,36.00,108.69,radio/TV
23,Young,female,2,rent,unknown,little,1200.00,12.00,100.00,education
23,Young,male,0,own,unknown,moderate,14555.00,6.00,2425.83,car
23,Young,female,2,own,moderate,unknown,3812.00,15.00,254.13,car
23,Young,male,2,rent,rich,unknown,3368.00,15.00,224.53,car
23,Young,male,2,rent,little,little,4110.00,24.00,171.25,furniture/equipment
23,Young,female,1,own,little,moderate,2101.00,13.00,161.62,radio/TV
23,Young,male,2,own,little,moderate,882.00,13.00,67.85,radio/TV
23,Young,female,0,rent,quite rich,moderate,3758.00,24.00,156.58,radio/TV
23,Young,female,2,rent,little,unknown,1236.00,9.00,137.33,domestic appliances
23,Young,male,1,own,little,moderate,1246.00,24.00,51.92,car
23,Young,female,2,rent,little,little,2406.00,30.00,80.20,furniture/equipment
23,Young,female,2,rent,little,unknown,2146.00,10.00,214.60,furniture/equipment
23,Young,female,2,rent,unknown,little,8471.00,18.00,470.61,education
23,Young,male,1,rent,quite rich,unknown,660.00,6.00,110.00,repairs
23,Young,female,2,own,little,little,448.00,6.00,74.67,education
23,Young,female,1,own,little,moderate,3573.00,12.00,297.75,radio/TV
23,Young,female,2,rent,little,unknown,7127.00,36.00,197.97,furniture/equipment
23,Young,female,2,own,moderate,unknown,3488.00,24.00,145.33,car
23,Young,male,2,rent,little,moderate,1534.00,12.00,127.83,radio/TV
23,Young,female,2,own,unknown,unknown,996.00,12.00,83.00,repairs
23,Young,female,2,rent,moderate,moderate,1553.00,24.00,64.71,radio/TV
23,Young,female,1,rent,little,little,3234.00,24.00,134.75,furniture/equipment
23,Young,female,2,rent,little,little,1442.00,24.00,60.08,car
23,Young,female,2,own,little,rich,1275.00,10.00,127.50,furniture/equipment
23,Young,male,2,own,unknown,moderate,1444.00,15.00,96.27,radio/TV
23,Young,male,2,rent,little,rich,1297.00,12.00,108.08,radio/TV
23,Young,male,2,own,unknown,little,900.00,12.00,75.00,car
23,Young,female,3,rent,little,moderate,11560.00,24.00,481.67,car
23,Young,male,1,own,little,moderate,1048.00,10.00,104.80,radio/TV
23,Young,female,2,rent,little,little,2511.00,15.00,167.40,car
23,Young,female,1,own,little,little,976.00,18.00,54.22,car
23,Young,female,1,rent,moderate,moderate,841.00,12.00,70.08,business
23,Young,female,1,own,moderate,moderate,836.00,12.00,69.67,car
23,Young,female,2,rent,little,little,1216.00,18.00,67.56,car
23,Young,female,1,rent,little,unknown,601.00,4.00,150.25,furniture/equipment
23,Young,female,2,own,little,unknown,1943.00,18.00,107.94,repairs
23,Young,male,2,own,little,moderate,15672.00,48.00,326.50,business
23,Young,female,2,own,little,little,1498.00,12.00,124.83,radio/TV
23,Young,male,1,own,quite rich,moderate,2520.00,27.00,93.33,radio/TV
23,Young,male,1,rent,unknown,little,1936.00,18.00,107.56,radio/TV
23,Young,male,2,free,little,little,1845.00,45.00,41.00,radio/TV
24,Young,female,2,rent,little,little,4308.00,48.00,89.75,business
24,Young,male,2,own,little,moderate,458.00,9.00,50.89,radio/TV
24,Young,male,2,rent,moderate,little,6187.00,30.00,206.23,car
24,Young,female,1,rent,moderate,unknown,1568.00,18.00,87.11,business
24,Young,male,2,rent,little,moderate,2323.00,36.00,64.53,radio/TV
24,Young,female,2,own,little,unknown,932.00,6.00,155.33,radio/TV
24,Young,male,1,rent,little,unknown,1768.00,12.00,147.33,furniture/equipment
24,Young,female,2,own,unknown,moderate,8487.00,48.00,176.81,car
24,Young,male,2,own,little,rich,5848.00,36.00,162.44,radio/TV
24,Young,male,1,rent,little,little,3021.00,24.00,125.88,furniture/equipment
24,Young,male,2,free,little,little,4605.00,48.00,95.94,car
24,Young,female,2,own,little,moderate,2150.00,30.00,71.67,car
24,Young,male,2,own,unknown,moderate,2030.00,9.00,225.56,furniture/equipment
24,Young,female,1,rent,unknown,unknown,4811.00,30.00,160.37,car
24,Young,female,2,own,little,moderate,1237.00,8.00,154.63,furniture/equipment
24,Young,female,3,own,moderate,moderate,7408.00,60.00,123.47,car
24,Young,female,1,rent,moderate,unknown,11590.00,48.00,241.46,car
24,Young,female,2,rent,unknown,little,1275.00,15.00,85.00,domestic appliances
24,Young,female,2,free,little,moderate,5743.00,24.00,239.29,education
24,Young,male,2,own,quite rich,unknown,2569.00,39.00,65.87,car
24,Young,female,2,rent,little,little,1207.00,24.00,50.29,car
24,Young,female,2,own,little,little,3190.00,18.00,177.22,radio/TV
24,Young,female,1,own,little,little,626.00,12.00,52.17,radio/TV
24,Young,male,1,rent,little,little,1546.00,24.00,64.42,radio/TV
24,Young,female,2,own,little,unknown,2788.00,15.00,185.87,furniture/equipment
24,Young,male,2,own,quite rich,unknown,2080.00,6.00,346.67,car
24,Young,male,2,own,moderate,moderate,5595.00,72.00,77.71,radio/TV
24,Young,male,2,own,little,unknown,1800.00,18.00,100.00,radio/TV
24,Young,male,2,own,moderate,moderate,6560.00,48.00,136.67,car
24,Young,female,2,rent,rich,moderate,433.00,6.00,72.17,education
24,Young,female,1,own,little,little,1228.00,12.00,102.33,car
24,Young,female,2,rent,little,little,2124.00,18.00,118.00,furniture/equipment
24,Young,male,1,own,little,little,2214.00,12.00,184.50,radio/TV
24,Young,female,2,own,little,little,4272.00,20.00,213.60,furniture/equipment
24,Young,female,0,rent,unknown,moderate,7472.00,12.00,622.67,car
24,Young,male,2,own,little,little,9271.00,36.00,257.53,car
24,Young,male,2,own,little,little,9629.00,36.00,267.47,car
24,Young,female,2,rent,little,unknown,1554.00,6.00,259.00,radio/TV
24,Young,male,2,own,little,rich,3016.00,12.00,251.33,radio/TV
24,Young,female,2,rent,little,little,652.00,12.00,54.33,furniture/equipment
24,Young,female,2,own,unknown,unknown,874.00,15.00,58.27,domestic appliances
24,Young,male,1,own,unknown,little,3763.00,21.00,179.19,car
24,Young,male,1,own,little,little,1747.00,24.00,72.79,furniture/equipment
24,Young,male,2,own,little,little,2145.00,36.00,59.58,business
25,Young,female,2,rent,little,moderate,1295.00,12.00,107.92,car
25,Young,male,2,own,unknown,little,8072.00,30.00,269.07,business
25,Young,male,1,own,little,moderate,4746.00,45.00,105.47,radio/TV
25,Young,male,2,own,little,unknown,1262.00,12.00,105.17,radio/TV
25,Young,male,2,own,little,moderate,14421.00,48.00,300.44,business
25,Young,female,2,own,unknown,unknown,2394.00,36.00,66.50,radio/TV
25,Young,female,2,own,little,unknown,7855.00,36.00,218.19,car
25,Young,female,2,own,little,little,1835.00,21.00,87.38,radio/TV
25,Young,female,2,rent,little,unknown,3972.00,24.00,165.50,furniture/equipment
25,Young,male,1,own,little,moderate,866.00,18.00,48.11,radio/TV
25,Young,male,2,own,little,unknown,1258.00,24.00,52.42,business
25,Young,male,2,own,unknown,unknown,999.00,24.00,41.63,radio/TV
25,Young,male,2,own,moderate,unknown,5511.00,24.00,229.63,furniture/equipment
25,Young,male,1,own,little,moderate,685.00,12.00,57.08,car
25,Young,male,2,rent,quite rich,moderate,3213.00,18.00,178.50,radio/TV
25,Young,male,0,own,little,little,2473.00,18.00,137.39,furniture/equipment
25,Young,female,2,rent,unknown,unknown,1283.00,22.00,58.32,car
25,Young,female,2,own,little,unknown,2238.00,18.00,124.33,radio/TV
25,Young,female,2,own,unknown,moderate,2762.00,12.00,230.17,furniture/equipment
25,Young,male,2,own,little,little,2136.00,9.00,237.33,furniture/equipment
25,Young,male,2,own,unknown,moderate,1484.00,12.00,123.67,radio/TV
25,Young,male,2,own,little,rich,5152.00,24.00,214.67,radio/TV
25,Young,male,2,own,unknown,unknown,3105.00,24.00,129.38,radio/TV
25,Young,female,1,own,little,moderate,1355.00,24.00,56.46,car
25,Young,male,2,own,little,little,975.00,15.00,65.00,furniture/equipment
25,Young,female,1,own,moderate,moderate,2631.00,15.00,175.40,repairs
25,Young,female,2,rent,little,moderate,2969.00,12.00,247.42,furniture/equipment
25,Young,female,2,own,little,moderate,1206.00,9.00,134.00,radio/TV
25,Young,male,1,own,little,little,1138.00,9.00,126.44,radio/TV
25,Young,female,2,rent,little,little,1882.00,18.00,104.56,radio/TV
25,Young,female,2,own,little,unknown,5771.00,30.00,192.37,radio/TV
25,Young,female,3,own,little,little,8065.00,36.00,224.03,education
25,Young,female,2,rent,unknown,little,1371.00,24.00,57.13,car
25,Young,female,2,own,little,little,3509.00,18.00,194.94,radio/TV
25,Young,male,2,own,little,moderate,4933.00,39.00,126.49,radio/TV
25,Young,female,1,own,little,rich,2327.00,15.00,155.13,radio/TV
25,Young,male,1,rent,little,unknown,2210.00,10.00,221.00,furniture/equipment
25,Young,female,1,own,little,moderate,4736.00,24.00,197.33,furniture/equipment
25,Young,female,2,own,unknown,moderate,2991.00,30.00,99.70,radio/TV
25,Young,male,2,rent,moderate,moderate,1264.00,15.00,84.27,car
25,Young,female,2,rent,little,little,1433.00,15.00,95.53,furniture/equipment
26,Young,male,2,own,unknown,unknown,2069.00,10.00,206.90,furniture/equipment
26,Young,male,2,own,quite rich,moderate,1158.00,12.00,96.50,radio/TV
26,Young,male,1,own,unknown,unknown,783.00,6.00,130.50,car
26,Young,female,2,own,little,unknown,3181.00,24.00,132.54,radio/TV
26,Young,male,2,rent,unknown,unknown,2445.00,12.00,203.75,car
26,Young,female,2,own,little,unknown,763.00,12.00,63.58,furniture/equipment
26,Young,male,2,own,little,little,3414.00,21.00,162.57,education
26,Young,male,2,own,little,unknown,5117.00,27.00,189.52,business
26,Young,male,2,own,little,moderate,1424.00,12.00,118.67,domestic appliances
26,Young,male,1,own,little,moderate,625.00,12.00,52.08,radio/TV
26,Young,male,2,own,little,rich,4210.00,36.00,116.94,radio/TV
26,Young,male,2,own,little,rich,1925.00,24.00,80.21,furniture/equipment
26,Young,female,2,own,little,unknown,2404.00,18.00,133.56,radio/TV
26,Young,male,2,own,little,little,4788.00,48.00,99.75,car
26,Young,male,2,own,little,unknown,1076.00,12.00,89.67,business
26,Young,female,2,own,little,moderate,9960.00,48.00,207.50,furniture/equipment
26,Young,female,2,own,little,rich,3749.00,24.00,156.21,furniture/equipment
26,Young,female,1,rent,little,little,3599.00,21.00,171.38,furniture/equipment
26,Young,male,3,own,little,unknown,4463.00,36.00,123.97,radio/TV
26,Young,male,2,own,little,rich,1330.00,12.00,110.83,car
26,Young,male,1,own,moderate,unknown,4272.00,30.00,142.40,business
26,Young,male,3,own,quite rich,unknown,3235.00,24.00,134.79,radio/TV
26,Young,female,0,own,little,rich,609.00,12.00,50.75,business
26,Young,female,2,own,little,unknown,2764.00,33.00,83.76,business
26,Young,female,2,rent,little,little,3114.00,18.00,173.00,furniture/equipment
26,Young,male,2,own,little,moderate,1201.00,24.00,50.04,car
26,Young,male,2,rent,little,unknown,3518.00,6.00,586.33,car
26,Young,male,2,own,little,unknown,1934.00,12.00,161.17,radio/TV
26,Young,male,2,own,little,little,759.00,12.00,63.25,car
26,Young,male,2,rent,little,rich,2687.00,15.00,179.13,business
26,Young,female,1,own,little,moderate,1113.00,18.00,61.83,radio/TV
26,Young,male,2,own,moderate,unknown,1311.00,24.00,54.63,radio/TV
26,Young,female,3,rent,unknown,unknown,5433.00,24.00,226.38,car
26,Young,female,2,rent,little,unknown,1388.00,9.00,154.22,furniture/equipment
26,Young,male,2,own,little,little,4370.00,42.00,104.05,radio/TV
26,Young,female,2,own,quite rich,unknown,1386.00,12.00,115.50,car
26,Young,female,3,rent,little,unknown,4530.00,30.00,151.00,radio/TV
26,Young,female,2,own,little,unknown,1453.00,18.00,80.72,radio/TV
26,Young,female,1,rent,moderate,moderate,4280.00,30.00,142.67,business
26,Young,male,2,own,unknown,unknown,5248.00,21.00,249.90,car
26,Young,female,2,rent,unknown,little,2812.00,24.00,117.17,car
26,Young,male,1,own,little,moderate,590.00,6.00,98.33,radio/TV
26,Young,female,0,rent,little,moderate,1778.00,15.00,118.53,car
26,Young,male,2,own,little,moderate,907.00,8.00,113.38,business
26,Young,male,2,own,little,little,1345.00,18.00,74.72,radio/TV
26,Young,male,2,rent,moderate,unknown,3577.00,9.00,397.44,car
26,Young,male,2,own,moderate,little,1382.00,24.00,57.58,business
26,Young,female,3,own,little,unknown,10974.00,36.00,304.83,furniture/equipment
26,Young,female,2,own,unknown,moderate,1715.00,30.00,57.17,radio/TV
26,Young,male,2,own,little,little,8229.00,36.00,228.58,car
27,Young,male,2,own,little,little,4020.00,24.00,167.50,furniture/equipment
27,Young,male,2,own,little,moderate,1391.00,9.00,154.56,business
27,Young,female,2,own,little,moderate,1295.00,18.00,71.94,furniture/equipment
27,Young,female,2,rent,unknown,little,2132.00,10.00,213.20,furniture/equipment
27,Young,female,2,rent,unknown,moderate,1924.00,18.00,106.89,furniture/equipment
27,Young,male,1,own,little,unknown,2708.00,15.00,180.53,furniture/equipment
27,Young,male,2,own,rich,unknown,8613.00,27.00,319.00,car
27,Young,male,0,own,rich,rich,709.00,6.00,118.17,car
27,Young,male,3,own,little,little,3416.00,27.00,126.52,radio/TV
27,Young,female,2,rent,moderate,moderate,951.00,12.00,79.25,furniture/equipment
27,Young,male,1,own,little,little,1168.00,12.00,97.33,car
27,Young,male,2,own,little,unknown,2613.00,36.00,72.58,repairs
27,Young,male,2,own,rich,moderate,10961.00,48.00,228.35,radio/TV
27,Young,female,2,own,little,unknown,1185.00,12.00,98.75,business
27,Young,male,1,own,unknown,moderate,7418.00,60.00,123.63,radio/TV
27,Young,male,2,own,little,little,1657.00,12.00,138.08,furniture/equipment
27,Young,female,1,own,little,little,3643.00,15.00,242.87,furniture/equipment
27,Young,male,2,own,little,unknown,3850.00,18.00,213.89,car
27,Young,male,2,own,quite rich,moderate,2326.00,15.00,155.07,business
27,Young,female,2,own,little,unknown,1449.00,9.00,161.00,business
27,Young,male,2,own,little,unknown,8648.00,24.00,360.33,business
27,Young,male,1,own,little,unknown,802.00,14.00,57.29,car
27,Young,male,2,own,little,little,1053.00,15.00,70.20,radio/TV
27,Young,female,2,own,little,little,343.00,6.00,57.17,domestic appliances
27,Young,female,2,own,moderate,unknown,1237.00,6.00,206.17,radio/TV
27,Young,female,2,own,little,little,3123.00,24.00,130.13,car
27,Young,male,1,own,unknown,unknown,1309.00,10.00,130.90,car
27,Young,male,2,own,moderate,moderate,1995.00,12.00,166.25,car
27,Young,male,2,own,little,little,3552.00,24.00,148.00,furniture/equipment
27,Young,male,1,own,little,moderate,1082.00,9.00,120.22,radio/TV
27,Young,female,2,own,little,moderate,2930.00,12.00,244.17,radio/TV
27,Young,male,2,own,little,moderate,2820.00,36.00,78.33,car
27,Young,male,1,own,little,unknown,937.00,24.00,39.04,education
27,Young,male,3,free,unknown,moderate,9157.00,60.00,152.62,radio/TV
27,Young,male,2,own,little,moderate,3652.00,21.00,173.90,business
27,Young,female,0,own,little,little,750.00,18.00,41.67,education
27,Young,male,2,rent,unknown,unknown,7980.00,36.00,221.67,business
27,Young,male,3,own,little,unknown,6314.00,24.00,263.08,vacation/others
27,Young,female,2,own,little,unknown,3609.00,48.00,75.19,business
27,Young,male,1,own,moderate,unknown,4139.00,24.00,172.46,business
27,Young,male,2,own,unknown,rich,1347.00,10.00,134.70,radio/TV
27,Young,male,3,own,little,moderate,14027.00,60.00,233.78,car
27,Young,male,2,own,moderate,unknown,2463.00,24.00,102.63,car
27,Young,male,2,own,little,little,5998.00,40.00,149.95,education
27,Young,male,2,own,unknown,unknown,1221.00,6.00,203.50,furniture/equipment
27,Young,male,2,own,little,unknown,1101.00,12.00,91.75,car
27,Young,male,2,own,rich,unknown,5804.00,24.00,241.83,car
27,Young,female,2,own,little,little,2389.00,18.00,132.72,radio/TV
27,Young,male,3,free,little,little,1422.00,9.00,158.00,car
27,Young,male,2,own,unknown,moderate,3711.00,36.00,103.08,education
27,Young,male,2,own,moderate,moderate,4576.00,45.00,101.69,car
28,Young,male,3,own,little,moderate,5234.00,30.00,174.47,car
28,Young,female,2,rent,little,little,1403.00,15.00,93.53,car
28,Young,female,2,own,moderate,unknown,2073.00,12.00,172.75,radio/TV
28,Young,male,2,own,little,little,1108.00,12.00,92.33,repairs
28,Young,male,1,rent,little,moderate,6260.00,18.00,347.78,car
28,Young,male,2,own,little,little,5371.00,36.00,149.19,furniture/equipment
28,Young,male,2,own,little,unknown,9572.00,36.00,265.89,business
28,Young,female,2,own,little,unknown,1382.00,6.00,230.33,radio/TV
28,Young,male,2,own,little,moderate,3060.00,48.00,63.75,radio/TV
28,Young,male,3,rent,little,moderate,9398.00,36.00,261.06,car
28,Young,male,3,own,little,moderate,4249.00,30.00,141.63,car
28,Young,male,2,own,rich,little,2659.00,18.00,147.72,furniture/equipment
28,Young,male,2,own,little,moderate,1068.00,6.00,178.00,radio/TV
28,Young,male,2,own,little,little,4169.00,24.00,173.71,furniture/equipment
28,Young,male,2,rent,little,little,6199.00,12.00,516.58,radio/TV
28,Young,male,2,own,little,unknown,776.00,12.00,64.67,radio/TV
28,Young,male,2,own,unknown,moderate,1887.00,18.00,104.83,business
28,Young,male,2,own,quite rich,rich,939.00,12.00,78.25,car
28,Young,male,1,own,little,little,654.00,9.00,72.67,car
28,Young,male,2,own,moderate,rich,1323.00,6.00,220.50,car
28,Young,male,2,own,little,unknown,1413.00,24.00,58.88,radio/TV
28,Young,female,2,rent,moderate,moderate,2631.00,15.00,175.40,car
28,Young,female,2,own,moderate,moderate,2278.00,18.00,126.56,car
28,Young,female,3,own,little,unknown,3349.00,36.00,93.03,furniture/equipment
28,Young,female,2,own,little,little,3660.00,24.00,152.50,radio/TV
28,Young,female,2,own,quite rich,unknown,1376.00,24.00,57.33,radio/TV
28,Young,female,2,own,little,moderate,4221.00,30.00,140.70,business
28,Young,male,2,own,little,unknown,2284.00,24.00,95.17,radio/TV
28,Young,female,2,rent,rich,unknown,2603.00,24.00,108.46,car
28,Young,male,1,own,little,little,1797.00,13.00,138.23,business
28,Young,male,2,rent,little,moderate,3617.00,12.00,301.42,furniture/equipment
28,Young,male,1,own,little,moderate,484.00,6.00,80.67,radio/TV
28,Young,male,1,own,little,unknown,2993.00,21.00,142.52,car
28,Young,male,2,own,little,unknown,1249.00,24.00,52.04,car
28,Young,male,2,free,little,unknown,3343.00,15.00,222.87,furniture/equipment
28,Young,male,2,own,little,unknown,2169.00,18.00,120.50,business
28,Young,male,2,own,little,unknown,3595.00,36.00,99.86,radio/TV
28,Young,female,3,rent,little,little,2606.00,21.00,124.10,radio/TV
28,Young,male,2,own,rich,unknown,2142.00,11.00,194.73,business
28,Young,female,2,own,little,unknown,1817.00,18.00,100.94,furniture/equipment
28,Young,female,1,own,little,rich,745.00,9.00,82.78,radio/TV
28,Young,female,2,rent,quite rich,moderate,4113.00,24.00,171.38,car
28,Young,female,3,own,moderate,rich,2923.00,21.00,139.19,car
29,Young,male,1,own,unknown,moderate,2333.00,24.00,97.21,furniture/equipment
29,Young,female,2,own,little,unknown,2171.00,12.00,180.92,radio/TV
29,Young,female,3,own,little,unknown,1412.00,12.00,117.67,business
29,Young,female,2,own,little,little,3499.00,12.00,291.58,car
29,Young,male,2,own,little,little,6887.00,36.00,191.31,education
29,Young,female,2,rent,rich,moderate,7758.00,24.00,323.25,car
29,Young,male,2,rent,little,unknown,2108.00,6.00,351.33,radio/TV
29,Young,female,2,own,unknown,little,915.00,24.00,38.13,car
29,Young,male,2,free,little,little,2149.00,12.00,179.08,radio/TV
